Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
"Imperator: Wrath of the Omnissiah (Warhammer 40,000)",Science Fiction : Space Opera,Gav Thorpe,$12.11,"Warhammer 40,000",368 pages,Games Workshop,"October 9, 2018",English,1784967785,978-1784967789,5.1 x 7.8 inches,1.1 pounds
There Before the Chaos (The Farian War),Science Fiction : Space Opera,K. B. Wagers,$11.15,The Farian War (Book 1),432 pages,Orbit,"October 9, 2018",English,0316411213,978-0316411219,,1.1 pounds
The Quantum Magician,Science Fiction : Space Opera,Derek Kunsken,$11.99,,480 pages,Solaris,"October 2, 2018",English,1781085706,978-1781085707,5.5 x 7.8 inches,1.1 pounds
Outer Dark (Carcharodons),Science Fiction : Space Opera,Robbie MacNiven,$12.25,Carcharodons,400 pages,Games Workshop,"September 18, 2018",English,1784967718,978-1784967710,5.1 x 7.8 inches,1.1 pounds
Deep Blue (Second Species Trilogy),Science Fiction : Space Opera,Jane O'Reilly,$22.99,Second Species Trilogy,336 pages,Piatkus,"September 11, 2018",English,0349416621,978-0349416625,,1.1 pounds
Watchers of the Throne: The Emperor's Legion,Science Fiction : Space Opera,Chris Wraight,$12.18,Watchers of the Throne,352 pages,Games Workshop,"September 4, 2018",English,178496767X,978-1784967673,5.1 x 7.8 inches,1.1 pounds
Challenger's Hope (The Seafort Saga),Science Fiction : Space Opera,David Feintuch,$12.11,The Seafort Saga (Book 2),405 pages,Open Road Media Sci-Fi & Fantasy,"September 25, 2018",English,1504052900,978-1504052900,5.2 x 8 inches,1.1 pounds
Daughters of Forgotten Light,Science Fiction : Space Opera,Sean Grigsby,$9.20,,400 pages,Angry Robot,"September 4, 2018",English,0857667955,978-0857667953,,13 ounces
Of Honour and Iron (Space Marine Conquests),Science Fiction : Space Opera,Ian St Martin,$12.39,Space Marine Conquests,352 pages,Games Workshop,"September 4, 2018",English,1784967688,978-1784967680,5.1 x 7.8 inches,1.1 pounds
Beyond the Gates of Antares: Void Protocol (Beyond Antares),Science Fiction : Space Opera,Riley O'Connor,$13.65,Beyond Antares,320 pages,Zmok Books,"September 18, 2018",English,1945430710,978-1945430718,6 x 0.6 x 9 inches,1.1 pounds
The Game of Luck (A Felicia Sevigny Novel),Science Fiction : Space Opera,Catherine Cerveny,$14.20,A Felicia Sevigny Novel (Book 3),384 pages,Orbit,"September 25, 2018",English,031644166X,978-0316441667,,1.1 pounds
The Madness of Mr. Butler,Science Fiction : Space Opera,Michael Haase,$13.99,,240 pages,Inkshares,"September 1, 2018",English,1942645392,978-1942645399,,
The Accidental War: A Novel,Science Fiction : Space Opera,Walter Jon Williams,$16.99,,560 pages,Harper Voyager,"September 4, 2018",English,0062467026,978-0062467027,5.3 x 1.3 x 8 inches,10.4 ounces
The Burden of Loyalty (The Horus Heresy),Science Fiction : Space Opera,Laurie Goulding,$18.00,The Horus Heresy (Book 48),432 pages,Games Workshop,"August 7, 2018",English,1784967521,978-1784967529,6 x 9.2 inches,1.1 pounds
The Million,Science Fiction : Space Opera,Karl Schroeder,$14.99,,192 pages,Tor.com,"August 14, 2018",English,1250185424,978-1250185426,5 x 8 inches,1.1 pounds
"Legend of the Galactic Heroes, Vol. 7: Tempest",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 7),224 pages,Haikasoru,"August 21, 2018",English,1421585294,978-1421585291,5.2 x 8 inches,1.1 pounds
Noumenon Infinity,Science Fiction : Space Opera,Marina J. Lostetter,$16.99,Noumenon,496 pages,Harper Voyager,"August 14, 2018",English,0062497863,978-0062497864,5.3 x 8 inches,10.4 ounces
Irontown Blues (Eight Worlds),Science Fiction : Space Opera,John Varley,$11.34,Eight Worlds (Book 4),304 pages,Ace,"August 28, 2018",English,1101989378,978-1101989371,5.1 x 0.8 x 8 inches,9 ounces
Servants of the Machine God (Adeptus Mechanicus),Science Fiction : Space Opera,Various,$16.00,Adeptus Mechanicus,416 pages,Games Workshop,"August 21, 2018",English,1784967599,978-1784967598,5.1 x 7.8 inches,1.1 pounds
Exile's Throne: The Empress Game Trilogy 3,Science Fiction : Space Opera,Rhonda Mason,$14.95,Empress Game Trilogy (Book 3),352 pages,Titan Books,"August 14, 2018",English,1783299452,978-1783299454,,13 ounces
Knightsblade (Imperial Knights),Science Fiction : Space Opera,Andy Clark,$16.00,Imperial Knights (Book 2),400 pages,Games Workshop,"August 7, 2018",English,1784967548,978-1784967543,5.1 x 7.8 inches,1.1 pounds
War for Armageddon: The Omnibus (Warhammer 40000),Science Fiction : Space Opera,Various,$21.00,Warhammer 40000,880 pages,Games Workshop,"August 7, 2018",English,1784967556,978-1784967550,5.1 x 7.8 inches,1.1 pounds
Lukas the Trickster,Science Fiction : Space Opera,Josh Reynolds,$16.00,Lukas the Trickster (Book 1),344 pages,Games Workshop,"August 7, 2018",English,1784967564,978-1784967567,5.1 x 7.8 inches,1.1 pounds
